m	Total	S-Sampling	S-All2All	S-SeedSelect	R-Sampling	R-All2All	R-SeedSelect
64	1139.956	471.975	616.438	41.036	514.572	103.009	514.277
128	634.984	280.091	322.105	18.578	292.499	107.14	223.419
256	404.129	194.904	180.22	12.818	175.273	107.517	120.823
512	226.438	109.861	104.109	8.289	104.746	83.322	37.923
1024	210.758	75.406	115.268	11.582	63.53	120.017	26.932
