, IMM-mt, Ripples, GreeDIMM
DBLP, 1988.0, 2008.2, 1729.4
friendster, , 22229266.2, 21677241.6
github, 7075.4, 7071.2, 6831.6
HepPh, 1778.8, 1834.2, 1720.8
livejournal, , 921112.2, 913937.0
orkut_big, , 942586.2, 932193.6
orkut_small, 1499808.6, 1498618.2, 1446493.2
Pokec, 462198.4, 462246.4, 460348.8
wikipedia, , 2790595.8, 2779475.0
