, IMM-mt, Ripples, GreeDIMM
DBLP, 1166782.537712, 265720.393223, 4317.786592
friendster, 1573066.932785, 354311.232398, 93285.826592
github, 853398.177475, 108278.825714, 4841.703176
HepPh, 966639.774445, 204988.27, 3365.684328
livejournal, 1045732.032495, 167516.557799, 5031.350174
orkut_big, 1347891.9984, 288300.771825, 18941.592912
orkut_small, 1180069.356565, 115623.745238, 4920.396638
Pokec, 1076356.385301, 153997.626713, 7790.2563
wikipedia, 1379380.539552, 210610.26177, 12294.052809
