, IMM-mt, Ripples, GreeDIMM
DBLP, 1190308.304678, 266786.690473, 3162.982566
friendster, , 310760.799513, 275109.46393
github, 738719.080979, 122543.77299, 31320.826326
HepPh, 903918.741891, 175143.114353, 1485.452553
livejournal, , 129407.69831, 51371.795913
orkut_big, , 164325.137217, 78113.135486
orkut_small, 1491573.939998, 72459.769713, 23293.221374
Pokec, 3356427.770958, 96331.960512, 34463.771075
twitter, , , 989474.178063
wikipedia, , 252844.751035, 226438.220018
