, IMM-mt, Ripples, GreeDIMM
DBLP, 2261.6, 2326.4, 2208.8
friendster, 28170753.8, 28170988.2, 28150723.2
github, 9875.0, 9930.2, 9658.2
HepPh, 2361.4, 2434.8, 2228.2
livejournal, 1306593.4, 1306766.0, 1306514.6
orkut_big, 1513385.4, 1516145.8, 1511769.2
orkut_small, 2048152.8, 2046236.8, 2040536.6
Pokec, 654873.0, 654571.0, 654886.6
wikipedia, 3250405.0, 3250916.6, 3250801.0
